feature,psi,status,train_mean,holdout_mean
tenure_months,12.433867549911245,shifted,35.61236960985626,10.9209363449692
logins_per_active_user_slope,0.014982138735346515,stable,-0.026815794707891062,-0.04851066144220675
feature_events_per_seat_prior_3m,0.012724584733233324,stable,6.950917246347257,6.771698572515977
automation_runs_last,0.011172613447924645,stable,150.90583333333333,140.535
feature_events_6m,0.010951162523629787,stable,3850.664,3583.24
support_tickets_per_seat_last,0.010301611998604243,stable,0.03456713980201282,0.03785591289509763
automation_runs_recent_3m,0.009075801737158168,stable,144.76805555555555,135.9081666666667
support_tickets_per_seat_slope,0.00905280409602345,stable,-0.00021078349625691824,0.0004505239772151198
active_rate_prior_3m,0.007769766313876409,stable,0.49759328445631223,0.4897520384489909
support_tickets_per_seat_prior_3m,0.0076398576988208925,stable,0.0351822984885686,0.035337531109683205
mrr_per_seat,0.007620775184151565,stable,45.788113940402305,45.54451052714205
active_rate_slope,0.007497630426690393,stable,-0.009797297462933173,-0.009929453883183463
active_users_mean_6m,0.007338118704006576,stable,41.105111111111114,38.90058333333333
nps_prior_3m,0.006305740551584903,stable,6.4515,6.41275
nps_change_3m,0.006283824929609974,stable,-0.17349444444444445,-0.19411666666666666
feature_velocity_change_3m,0.006232879445846663,stable,0.3586036918634357,0.3145295550761324
nps_slope,0.0061409193139079455,stable,-0.06278238095238095,-0.06695857142857142
logins_per_active_user_recent_3m,0.0058847858456871835,stable,7.759947134792313,7.702792211169989
feature_events_per_seat_slope,0.005797268162902601,stable,0.0985932027955138,0.0826369642621124
nps_min_6m,0.005608508071592654,stable,4.665483333333333,4.596450000000001
support_ticket_intensity,0.005535720495573469,stable,0.2092222601165717,0.21554097946808304
nps_last,0.005499271813357085,stable,6.29995,6.2713
automation_runs_prior_3m,0.005455033584767804,stable,141.33255555555553,134.627
feature_events_per_seat_recent_3m,0.004750434814681661,stable,7.309520938210691,7.0862281275921095
active_rate_change_3m,0.004749765094961819,stable,-0.027252392181130243,-0.027159140159312437
api_calls_prior_3m,0.004692536550676407,stable,162.92172222222223,149.76816666666667
feature_events_per_seat_last,0.004453174442659933,stable,7.6722760485579835,7.430108731227774
feature_depth_score,0.0044402902969216725,stable,24.795920071706806,24.12383610598278
support_tickets_per_seat_recent_3m,0.004247594916478394,stable,0.034558454883621956,0.03650946204634446
api_calls_last,0.004195646984358866,stable,175.857,155.041
active_rate_recent_3m,0.004004708452176425,stable,0.47034089227518194,0.4625928982896785
renewal_month,0.003951448142914234,stable,6.483,6.4265
seats,0.003930279879923784,stable,81.311,77.3675
log_seats,0.003930279879923784,stable,3.8251153077537534,3.7843429292384307
months_to_renewal,0.0034319703712504474,stable,5.529,5.4785
logins_per_active_user_last,0.003341738103029713,stable,7.77750666068165,7.698589037114851
nps_recent_3m,0.003231986247156887,stable,6.278005555555556,6.218633333333333
acquisition_channel_Outbound,0.0031115872951164624,stable,0.2335,0.2575
api_calls_recent_3m,0.0030042299736813788,stable,168.61355555555554,149.5165
active_rate_last,0.0027144848828164793,stable,0.4757799097420711,0.46817911189605205
mrr,0.0024961870760194195,stable,4539.643068333333,4332.931030000001
log_mrr,0.0024961870760194195,stable,7.533340981744153,7.486443244340899
region_APAC,0.002465340878155922,stable,0.1575,0.176
contract_months,0.0022994710721053547,stable,7.226166666666667,6.842
is_annual_contract,0.0022994710721053547,stable,0.4578333333333333,0.434
support_tickets_6m,0.002145797597234139,stable,6.2895,6.303
logins_per_active_user_prior_3m,0.0018431679629029273,stable,7.829822349539388,7.856162853904128
segment_SMB,0.001683307224830935,stable,0.5813333333333334,0.6015
overdue_months_6m,0.0015318738462847831,stable,0.9105,0.928
nps_max_6m,0.0013571538778413424,stable,8.029233333333334,8.01675
segment_Enterprise,0.0008650879106303614,stable,0.11833333333333333,0.109
severe_ticket_share_6m,0.0007921528948742746,stable,0.12282929173008506,0.12383227531842082
acquisition_channel_Marketplace,0.0007899029080720516,stable,0.12566666666666668,0.1165
region_EMEA,0.0007499148222518362,stable,0.24416666666666667,0.2325
region_North America,0.0006090734241480456,stable,0.5218333333333334,0.5095
invoice_overdue_prior_3m,0.0005894114181628387,stable,0.1502222222222222,0.1555
segment_Mid-Market,0.000564444706711282,stable,0.30033333333333334,0.2895
near_renewal,0.00047726770140053593,stable,0.2485,0.258
region_LATAM,0.0004147105349781187,stable,0.0765,0.082
acquisition_channel_Inbound,0.000342251588743704,stable,0.43766666666666665,0.4285
customer_health_owner_strategic_csm,0.0002564243735875873,stable,0.112,0.107
plan_Scale,0.00020446646175948204,stable,0.21383333333333332,0.208
acquisition_channel_Partner,0.0002004548852695882,stable,0.20316666666666666,0.1975
severe_tickets_6m,0.00019008134486635746,stable,0.8155,0.825
customer_health_owner_named_csm,0.00017854050930546844,stable,0.33766666666666667,0.344
industry_Education,7.197158968577877e-05,stable,0.10983333333333334,0.1125
industry_Healthcare,6.51598798129475e-05,stable,0.14533333333333334,0.1425
industry_Manufacturing,6.387389120908528e-05,stable,0.14883333333333335,0.146
invoice_overdue_recent_3m,6.208636177863937e-05,stable,0.15327777777777776,0.15383333333333332
plan_Growth,5.489537244872886e-05,stable,0.42683333333333334,0.4305
plan_Starter,2.0364942406295572e-05,stable,0.35933333333333334,0.3615
industry_Retail,1.3122639618382234e-05,stable,0.219,0.2205
industry_SaaS,1.0468834324046207e-05,stable,0.21616666666666667,0.2175
customer_health_owner_pooled,7.1819809406930296e-06,stable,0.5503333333333333,0.549
invoice_overdue_last,1.8530962323909243e-06,stable,0.161,0.1605
industry_FinTech,2.0572705515559687e-07,stable,0.16083333333333333,0.161
