feature,mean_auc_drop,std_auc_drop
active_rate_change_3m,0.017567883422482094,0.0007851453285790204
invoice_overdue_recent_3m,0.015775117386404025,0.0013588507430020878
active_rate_recent_3m,0.009753136728697523,0.005913464923090165
active_rate_slope,0.008041136944074193,0.0014761981211440104
severe_ticket_share_6m,0.006232462403921761,0.0009603864614084599
nps_change_3m,0.0061064181024090836,0.001406478591725204
near_renewal,0.005702586845135545,0.00042444597050828633
nps_recent_3m,0.0038596478346689667,0.001392930685326694
severe_tickets_6m,0.0038253833643548583,0.002134332952725118
nps_slope,0.0036699695168587176,0.0012275639246407965
logins_per_active_user_prior_3m,0.003328548544800136,0.001592486541743624
support_tickets_per_seat_prior_3m,0.002568611542476266,0.000620958822008563
invoice_overdue_prior_3m,0.0025184385680877184,0.001559120806205239
overdue_months_6m,0.0022810347380541884,0.00035832969177002907
acquisition_channel_Outbound,0.0021525429743762072,0.0017820793709799694
feature_depth_score,0.002140305663549761,0.0012928960678488676
feature_events_per_seat_last,0.0020717767229215442,0.0005644916426665666
industry_Education,0.0019775494295576714,0.0001814013652544523
support_tickets_per_seat_slope,0.0019383900349129919,0.00028112808013591565
nps_last,0.0017695151455077163,0.0019872405634693527
log_seats,0.0017144472467885974,0.0004701516849610862
nps_prior_3m,0.0012127175029032304,0.001032022564294743
region_LATAM,0.0011968089988288282,0.00024710885109453974
industry_Retail,0.0011833479569197298,0.00020208984245290992
region_APAC,0.001136846175779101,0.0010961666376148908
automation_runs_last,0.001133174982531182,0.0009778032525318751
active_rate_prior_3m,0.00106586977298558,0.0013080866756099937
log_mrr,0.0008541642956876316,0.0010432492293621298
automation_runs_prior_3m,0.0007060928346873293,0.0007826064047631443
feature_velocity_change_3m,0.0007011979103567582,0.00030637788496817885
feature_events_per_seat_prior_3m,0.0006436825494723353,0.00017686195471600216
is_annual_contract,0.0006375638940591122,9.649645303365762e-05
acquisition_channel_Partner,0.0005054009371332121,0.00010526932812322036
industry_Manufacturing,0.0004833737776455867,0.00048339391457308126
support_tickets_6m,0.0004748076600670226,0.00033840534621125553
plan_Growth,0.0004576754249099683,0.00034336071181319505
feature_events_per_seat_recent_3m,0.00041729229918263666,0.0007491773237363271
customer_health_owner_strategic_csm,0.0003524345518023386,0.00017281925314625393
logins_per_active_user_recent_3m,0.0002765632246781724,0.00021436611221055494
nps_min_6m,0.00017132235157057973,0.0011231544942056557
region_EMEA,0.00016642742723993464,9.063874693431282e-05
contract_months,0.0001382816123390862,0.00016253986701252027
mrr,0.00012237310826464695,0.00032129874647297287
renewal_month,0.00011870191501669088,0.0003912457931546529
logins_per_active_user_last,0.00011747818393407587,7.9306838312154e-05
invoice_overdue_last,0.00011013579743820075,9.615443134105997e-05
api_calls_recent_3m,0.00010279341094232564,0.00041797896150435286
customer_health_owner_pooled,0.00010034594877702159,5.8149764471002094e-05
segment_Enterprise,6.241028521491998e-05,3.8967717553297116e-05
industry_FinTech,2.6922083818196423e-05,8.480023759504957e-05
nps_max_6m,2.080342840493632e-05,0.0011232704865459
api_calls_last,7.342386495801101e-06,2.3792051493663332e-05
logins_per_active_user_slope,-1.223731082689028e-06,5.3313119524962454e-05
tenure_months,-1.1013579743868185e-05,8.876901749480648e-05
api_calls_prior_3m,-4.405431897532471e-05,0.00017135731174882006
seats,-5.3844167636540874e-05,0.00036912484493904166
active_users_mean_6m,-8.443744470269336e-05,0.0019277109126459885
feature_events_6m,-0.00010646460419031871,0.001612076093192933
customer_health_owner_named_csm,-0.00011503072176884584,2.2498022219101396e-05
region_North America,-0.0001174781839341869,0.00013260412349881334
automation_runs_recent_3m,-0.00018600712456240398,0.0005824779990166645
plan_Scale,-0.000188454586727708,0.00014079822492414314
months_to_renewal,-0.00021415293946332645,0.0001578281041630355
industry_Healthcare,-0.00022394278812446858,0.0005957748317705464
mrr_per_seat,-0.000252088603025354,3.301806976792204e-05
active_rate_last,-0.00027778695576097245,0.0019936017863315136
acquisition_channel_Marketplace,-0.0004797025843977047,0.0004256086742584894
industry_SaaS,-0.0005861671885880234,0.00038450479663341497
feature_events_per_seat_slope,-0.0006522486670509734,0.0004335981607755706
plan_Starter,-0.0008247947497042422,0.0005871639756914183
acquisition_channel_Inbound,-0.0014721484924245336,0.0016484461674049213
segment_SMB,-0.0015198740046477772,0.0006294999247922201
support_tickets_per_seat_last,-0.0015284401222263044,0.00043337015665979736
segment_Mid-Market,-0.0015357825087221795,0.001811217913836001
support_ticket_intensity,-0.0024474621652943083,0.0019180508184296879
support_tickets_per_seat_recent_3m,-0.002584520046550779,0.0007631373846289935
